percent,Value,sample_number,comparing_time_in_second
0.1,0.300354943,AQ_NYC_sample_30.tiff,203.8553123
0.2,0.137063118,AQ_NYC_sample_45.tiff,227.0402632
0.3,0.067388384,AQ_NYC_sample_13.tiff,237.9183128
0.4,0.064821669,AQ_NYC_sample_19.tiff,242.0567391
0.5,0.063407615,AQ_NYC_sample_43.tiff,238.8018079
0.6,0.003164886,AQ_NYC_sample_38.tiff,262.3905132
0.7,0.002442755,AQ_NYC_sample_47.tiff,272.1235175
0.8,0.000771592,AQ_NYC_sample_2.tiff,269.2831883
0.9,0.000258419,AQ_NYC_sample_40.tiff,272.1772141
random,0.044275985,AQ_NYC_sample_44.tiff,249.5564141
